Sektion;Nr;Item;Form;Annahme/Frage;Status;Kommentar
3 Inventur;31;Matrix als einzig nicht-vorlagen-basierter Container;Annahme;Matrix bleibt structural ohne Vorlagen-Modell;offen;richtig
3 Inventur;32;Board zu Vorlage Kanban;Annahme;Bestehender Code (BoardView, kb_columns, atom_manifestations(kanban)) wird unter Kanban-Vorlage gefasst;offen;richtig
3 Inventur;33;Info-Felder leben heute in cell.data.infoFields[];Beobachtung;Info ist heute kein Atom sondern JSONB-Array � Migration noetig;offen;"richtig, Denkmodell: ""Ich gehe in Zelle X, darin befinden sich 5 Infofelder, eines davon sind die wichtigen Vertragsmerkmale des Kunden: ich kann dieses Infofeld nehmen und im Kalender droppen um mir z.B. die Vertragspr�fung zeitlich zu kennzeichnen."
3 Inventur;34;Doc als Vorbild fuer Vorlagen-Modell;Annahme;Doc-Pattern liefert nur Entkopplungs-Idee. Vorlagen=Auto-Sync mit Override-Layer + Schloss-Toggle pro Cell-Instanz. Slot/Aggregat ueber Filter+Welle-D-Tags, kein neuer parent_kind, kein widget_instances. Schloss schuetzt Layout. Detail 6.8.;bestaetigt;User 2026-05-05: Abweichung + Auto-Sync default + Lock-Toggle. Hybrid-parent_kind verworfen.
3 Inventur;35;Hotkeys 5-9 + n frei;Beobachtung;Aus features.ts:86 � bestaetigt;offen;richtig
3 Inventur;36;Smart Summary liest schreibt nicht;Beobachtung;Wird im Vorlagen-Modell selbst zur Vorlage Dashboard mit Read-Widgets;offen;richtig
3 Inventur;37;Externe Anker pro Feature richtig priorisiert;Frage;Welle-1-Provider OneNote Outlook OneDrive Google-Cal � passt?;offen;ja diese sehe ich als sinnvoll zun�chst
4 Atome;41;info_field als 6. Atom-Typ V1;Empfehlung;Atom-Liste waechst auf 6 (task link checklist doc imported_event info_field);offen;richtig
4 Atome;42;note als 7. Atom-Typ;Empfehlung;NEIN V2 � atom_comments + extern decken Use-Case;offen;Wenn gemeint ist, dass mal Kommentare als Aton sieht: geht V2, muss nicht jetzt sein
4 Atome;43;Marker-Modell;Annahme;Eigene Tabelle atom_markers (Layer-4-Pattern). Kinds star (Workspace+Counter) + eye (User-privat). Star-Toggle pro Widget abschaltbar, Eye immer fuer User. Migration WV.B.;bestaetigt;User 2026-05-06: Option B + Star+Eye + UI rechts oben + Realtime mit Throttle 1-2s
4 Atome;43a;atom_markers RLS;Annahme;SELECT: is_workspace_member AND (kind=star OR user_id=auth.uid()). WRITE: nur Owner;bestaetigt;User 2026-05-06
